Code,Division,Code,District,Code,Upazila/City Corporation,Code,Union / Municipality / City Corporation Ward
40,Khulna,65,NARAIL,52,LOHAGARA,208,DIGHALIA
45,Mymensingh,89,SHERPUR,70,NALITABARI,142,BAGHBER
50,Rajshahi,88,SIRAJGANJ,94,ULLAPARA,611,PANCHAKROSHI
20,Chittagong,13,CHANDPUR,76,MATLAB DAKKHIN,208,DAKKHIN NAYERGAON
20,Chittagong,75,NOAKHALI,87,NOAKHALI SADAR,127,ASHWADIA
10,Barisal,42,JHALOKATI,43,KANTHALIA,708,SHOULAJALIA
40,Khulna,18,CHUADANGA,07,ALAMDANGA,313,GANGNI
45,Mymensingh,89,SHERPUR,88,SHERPUR SADAR,215,DHALA
50,Rajshahi,88,SIRAJGANJ,50,KAZIPUR,545,NATUARPARA
55,Rangpur,94,THAKURGAON,94,THAKURGAON SADAR,731,SHUKHAN PUKHRI
10,Barisal,42,JHALOKATI,43,KANTHALIA,608,PATIKHALGHATA
60,Sylhet,58,MOULVIBAZAR,80,RAJNAGAR,274,FATEPUR
30,Dhaka,82,RAJBARI,29,GOALANDA,218,DEBAGRAM
30,Dhaka,86,SHARIATPUR,69,SHARIATPUR SADAR,109,ANGARIA
30,Dhaka,86,SHARIATPUR,69,SHARIATPUR SADAR,66,SHARIATPUR POURASABHA
30,Dhaka,29,FARIDPUR,10,BHANGA,186,CHUMURDI
30,Dhaka,67,NARAYANGANJ,44,NARAYANGANJ CITY CORPORATION,027,WARD NO. 27
10,Barisal,78,PATUAKHALI,55,DUMKI,707,SREERAMPUR
30,Dhaka,86,SHARIATPUR,94,ZAJIRA,142,BARA GOPALPUR
30,Dhaka,26,DHAKA,20,DHAKA SOUTH CITY CORPORATION,056,WARD NO. 56 (92)
45,Mymensingh,61,MYMENSINGH,22,GAFARGAON,689,RASULPUR
20,Chittagong,19,COMILLA,72,LAKSAM,309,GOBINDAPUR
30,Dhaka,29,FARIDPUR,47,FARIDPUR SADAR,311,GERDA
30,Dhaka,59,MUNSHIGANJ,94,TONGIBARI,714,SONARANG TONGIBARI
20,Chittagong,12,BRAHMANBARIA,90,NASIRNAGAR,313,GOALNAGAR
45,Mymensingh,61,MYMENSINGH,13,BHALUKA,211,DAKATIA
60,Sylhet,90,SUNAMGANJ,89,SUNAMGANJ SADAR,441,KATHAIR
40,Khulna,47,KHULNA,75,RUPSA,740,TILAK SWALPA BAHIRDIA
20,Chittagong,19,COMILLA,31,CHAUDDAGRAM,109,ALKARA
20,Chittagong,19,COMILLA,09,BARURA,154,BHAUKSAR
40,Khulna,50,KUSHTIA,63,KHOKSA,577,OSMANPUR
30,Dhaka,54,MADARIPUR,54,MADARIPUR SADAR,717,SHIRKHARA
20,Chittagong,15,CHITTAGONG,18,CHANDANAISH,220,DOHAZARI
50,Rajshahi,10,BOGRA,27,DHUNAT,30,DHUNAT POURASABHA
30,Dhaka,29,FARIDPUR,56,MADHUKHALI,143,BAGAT
30,Dhaka,67,NARAYANGANJ,44,NARAYANGANJ CITY CORPORATION,014,WARD NO. 14
50,Rajshahi,70,CHAPAINABABGANJ,66,CHAPAINAWABGANJ SADAR,213,DEBINAGAR
55,Rangpur,49,KURIGRAM,08,RAJIBPUR,439,KODALKATI
10,Barisal,09,BHOLA,29,DAULATKHAN,510,MADANPUR
20,Chittagong,12,BRAHMANBARIA,90,NASIRNAGAR,331,GUNIAUK
10,Barisal,09,BHOLA,54,LALMOHAN,611,PASHCHIM CHAR UMED
45,Mymensingh,61,MYMENSINGH,65,MUKTAGACHHA,219,DULLA
10,Barisal,42,JHALOKATI,40,JHALOKATHI SADAR,452,KIRTIPASHA
30,Dhaka,59,MUNSHIGANJ,44,LOUHAJANG,151,BOULTALI
20,Chittagong,12,BRAHMANBARIA,63,KASBA,461,KHARERA
30,Dhaka,56,MANIKGANJ,70,SATURIA,228,DIGHULIA
30,Dhaka,68,NARSINGDI,63,PALASH,175,CHAR SINDUR
20,Chittagong,22,COXS BAZAR,24,COXS BAZAR SADAR,66,COXS BAZAR POURASABHA
45,Mymensingh,39,JAMALPUR,15,DEWANGANJ,346,HATIBHANGA
20,Chittagong,19,COMILLA,27,CHANDINA,413,JOAG
30,Dhaka,82,RAJBARI,07,BALIAKANDI,409,JAMALPUR
10,Barisal,06,BARISAL,50,BARISAL CITY CORPORATION,007,WARD NO. 07
30,Dhaka,86,SHARIATPUR,65,NARIA,280,FATEJANGAPUR
40,Khulna,18,CHUADANGA,55,JIBANNAGAR,143,BANKA
45,Mymensingh,89,SHERPUR,88,SHERPUR SADAR,448,KAMARERCHAR
10,Barisal,42,JHALOKATI,73,NALCHHITY,677,RANAPASHA
60,Sylhet,91,SYLHET,59,KANAIGHAT,408,JHINGABARI
20,Chittagong,13,CHANDPUR,76,MATLAB DAKKHIN,441,KHADERGAON
45,Mymensingh,72,NETRAKONA,04,ATPARA,715,SUKHARI
10,Barisal,79,PIROJPUR,87,NESARABAD (SWARUPKATHI),143,BALDIA
30,Dhaka,93,TANGAIL,23,DELDUAR,279,FAZILHATI
20,Chittagong,13,CHANDPUR,95,SHAHRASTI,175,CHITOSHI PASHCHIM
50,Rajshahi,64,NAOGAON,69,NIAMATPUR,343,HAJINAGAR
55,Rangpur,27,DINAJPUR,60,KHANSAMA,109,ALOKJHARI
30,Dhaka,26,DHAKA,72,SAVAR,162,BIRULIA
50,Rajshahi,64,NAOGAON,47,MANDA,470,KUSUMBA
40,Khulna,55,MAGURA,95,SREEPUR,708,SABDALPUR
30,Dhaka,56,MANIKGANJ,70,SATURIA,279,FUKURHATI
40,Khulna,87,SATKHIRA,90,TALA,208,DHANDIA
30,Dhaka,56,MANIKGANJ,78,SHIBALAY,705,SHIBALAY
30,Dhaka,35,GOPALGANJ,32,GOPALGANJ SADAR,797,URFI
50,Rajshahi,10,BOGRA,06,ADAMDIGHI,442,KUNDAGRAM
30,Dhaka,67,NARAYANGANJ,44,NARAYANGANJ CITY CORPORATION,008,WARD NO. 08
20,Chittagong,12,BRAHMANBARIA,13,BRAHMANBARIA SADAR,517,MAJLISHPUR
55,Rangpur,73,NILPHAMARI,36,JALDHAKA,444,KAIMARI
20,Chittagong,13,CHANDPUR,79,MATLAB UTTAR,28,CHHENGARCHAR POURASABHA
40,Khulna,01,BAGERHAT,77,SHARANKHOLA,997,SUNDARBAN (RESERVE FOREST)
55,Rangpur,49,KURIGRAM,61,NAGESHWARI,453,KALIGANJ
55,Rangpur,32,GAIBANDHA,67,PALASHBARI,510,MAHADIPUR
40,Khulna,47,KHULNA,33,KHULNA CITY CORPORATION,029,WARD NO. 29
20,Chittagong,15,CHITTAGONG,16,CHITTAGONG  CITY CORPORATION,015,WARD NO. 15
50,Rajshahi,76,PABNA,16,BERA,611,PURAN BHARENGA
30,Dhaka,48,KISHOREGANJ,27,HOSSAINPUR,707,SHAHEDAL
20,Chittagong,12,BRAHMANBARIA,13,BRAHMANBARIA SADAR,609,PURBA TALSHAHAR
50,Rajshahi,69,NATORE,63,NATORE SADAR,176,CHHATNI
50,Rajshahi,69,NATORE,15,BARAIGRAM,142,BARAIGRAM
45,Mymensingh,72,NETRAKONA,09,BARHATTA,178,CHIRAM
30,Dhaka,33,GAZIPUR,33,GAZIPUR CITY CORPORATION,003,WARD NO. 03
20,Chittagong,03,BANDARBAN,14,BANDARBAN SADAR,672,RAJBILA
50,Rajshahi,10,BOGRA,27,DHUNAT,185,CHOUKIBARI
55,Rangpur,85,RANGPUR,75,RANGPUR CITY CORPORATION,018,WARD NO. 18
20,Chittagong,75,NOAKHALI,07,BEGUMGANJ,683,RAJGANJ
20,Chittagong,15,CHITTAGONG,70,RANGUNIA,343,HOSNABAD
60,Sylhet,90,SUNAMGANJ,18,BISHWAMBHARPUR,276,FATEHPUR
30,Dhaka,29,FARIDPUR,56,MADHUKHALI,680,RAYPUR
20,Chittagong,75,NOAKHALI,07,BEGUMGANJ,414,JIRTALI
